Trial_number;bc_release;condition(1 = change);delay;latency;result(1 = success, 2 = missed)
1;480;1;172;595;1
2;570;0;237;734;1
3;631;0;280;808;1
4;525;1;288;850;1
5;1204;0;114;1625;1
6;545;1;254;670;1
7;630;1;237;763;1
8;592;1;151;696;1
9;683;1;276;885;1
10;616;1;194;750;1
11;759;1;237;985;1
12;637;1;112;794;1
13;614;1;240;729;1
14;649;1;114;1019;1
15;941;0;120;1425;1
16;702;1;275;845;1
17;635;1;171;863;1
18;853;1;229;994;1
19;676;0;283;802;1
20;619;0;165;764;1
21;31;0;294;101;1
22;605;1;279;733;1
23;641;0;263;779;1
24;869;1;150;985;1
25;604;1;195;732;1
26;582;1;176;751;1
27;689;1;108;830;1
28;737;1;157;1631;1
29;552;1;166;698;1
30;650;1;161;828;1
31;517;1;190;827;1
32;583;1;154;682;1
33;561;1;292;839;1
34;514;1;162;658;1
35;530;1;274;710;1
36;509;1;101;644;1
37;585;1;217;712;1
38;559;1;106;658;1
39;652;1;124;755;1
40;817;0;152;914;1
41;579;1;153;689;1
42;584;1;191;921;1
43;582;1;258;745;1
44;635;1;123;733;1
45;855;1;212;959;1
46;576;1;229;691;1
47;602;0;159;717;1
48;561;1;165;914;1
49;530;1;255;637;1
50;623;1;113;750;1
51;591;1;181;687;1
52;610;1;128;734;1
53;738;0;254;963;1
54;629;1;225;720;1
55;740;1;185;918;1
56;572;1;207;670;1
57;659;1;203;791;1
58;672;1;295;781;1
59;673;1;227;806;1
60;686;0;120;827;1
61;680;0;150;824;1
62;625;0;178;746;1
63;636;0;101;1059;1
64;587;0;278;753;1
65;692;1;146;916;1
66;976;1;175;1116;1
67;523;1;193;812;1
68;701;1;235;816;1
69;670;1;162;798;1
70;737;1;190;840;1
71;794;1;129;908;1
72;681;1;250;810;1
73;662;1;167;788;1
74;803;0;146;923;1
75;663;1;122;774;1
76;883;1;197;1010;1
77;710;0;141;835;1
78;564;1;250;678;1
79;792;1;221;905;1
80;623;1;185;749;1
81;726;1;194;852;1
82;734;1;161;979;1
83;646;1;218;840;1
84;690;0;182;829;1
85;832;1;261;961;1
86;691;0;190;953;1
87;766;1;242;884;1
88;835;1;215;978;1
89;640;1;198;752;1
90;655;1;215;782;1
91;788;1;197;951;1
92;851;1;284;977;1
93;774;1;283;930;1
94;616;1;193;734;1
95;684;1;134;810;1
96;711;0;173;855;1
97;602;1;112;727;1
98;638;1;150;778;1
99;597;1;277;725;1
100;572;1;185;687;1
101;639;0;116;755;1
102;591;0;239;729;1
103;583;1;143;696;1
104;635;1;160;772;1
105;653;1;260;828;1
106;576;0;138;695;1
107;619;1;252;759;1
108;612;1;130;720;1
109;665;1;196;789;1
110;675;0;114;828;1
111;669;1;276;936;1
112;617;1;138;728;1
113;639;0;166;758;1
114;682;1;212;823;1
115;650;1;114;824;0
116;600;1;248;722;1
117;708;1;134;838;1
118;618;0;277;735;1
119;744;1;203;865;1
120;734;1;110;840;1
121;770;1;197;863;1
122;998;1;270;1117;1
123;676;1;275;775;1
124;660;1;165;801;1
125;600;1;189;721;1
126;631;1;115;768;1
127;768;1;265;927;1
128;740;1;247;863;1
129;720;1;172;844;1
130;567;1;158;702;1
131;534;0;144;637;1
132;596;1;201;708;1
133;565;1;187;660;1
134;616;0;194;707;1
135;603;1;239;724;1
136;635;1;252;740;1
137;588;1;256;681;1
138;670;0;290;776;1
139;493;1;163;636;1
140;540;1;119;654;1
141;539;1;287;897;1
142;592;1;292;883;1
143;590;1;238;1260;1
144;540;1;166;672;1
145;709;0;276;1148;0
146;1331;1;135;1462;1
147;846;0;237;1031;1
148;699;1;134;855;1
149;687;1;158;1022;1
150;849;0;119;4294967055;2
151;573;1;207;819;1
152;647;0;236;761;1
153;693;0;221;1046;1
154;641;1;171;738;1
155;918;1;213;1048;1
156;1086;1;140;1232;1
157;738;1;277;1044;1
158;639;1;173;796;1
159;780;1;177;1021;1
160;722;1;209;879;1
161;745;1;284;886;1
162;767;0;230;917;1
163;910;1;274;1051;1
164;647;1;299;1271;1
165;716;1;207;821;1
166;791;1;241;923;1
167;737;1;293;871;1
168;811;1;259;958;1
169;545;1;130;639;1
170;569;1;158;675;1
171;634;1;182;748;1
172;640;0;120;739;1
