Trial_number;bc_release;condition;delay;latency;result
1;721;1;172;988;1
2;684;0;237;892;1
3;904;0;280;1054;1
4;822;1;288;924;1
5;899;0;114;1018;1
6;767;1;254;895;1
7;912;1;237;1049;1
8;695;1;151;850;1
9;778;1;276;951;1
10;778;1;194;916;1
11;675;1;237;798;1
12;631;1;112;740;1
13;706;1;240;823;1
14;761;1;114;934;0
15;1413;0;120;1546;1
16;747;1;275;860;1
17;670;1;171;796;1
18;640;1;229;762;1
19;830;0;283;940;1
20;725;0;165;813;1
21;536;0;294;661;1
22;853;1;279;978;1
23;1355;0;263;1495;1
24;1014;1;150;1174;1
25;954;1;195;1099;1
26;852;1;176;1026;1
27;725;1;108;869;1
28;755;1;157;887;1
29;806;1;166;936;1
30;693;1;161;812;1
31;659;1;190;781;1
32;726;1;154;891;1
33;890;1;292;1021;1
34;683;1;162;823;1
35;646;1;274;808;1
36;595;1;101;737;1
37;654;1;217;795;1
38;663;1;106;788;1
39;583;1;124;756;0
40;796;0;152;928;1
41;707;1;153;830;1
42;701;1;191;812;1
43;739;1;258;880;1
44;1107;1;123;1212;1
45;842;1;212;984;1
46;730;1;229;852;1
47;709;0;159;853;1
48;695;1;165;816;1
49;712;1;255;845;1
50;713;1;113;840;0
51;739;1;181;864;1
52;706;1;128;841;1
53;688;0;254;793;1
54;705;1;225;820;1
55;1037;1;185;1152;1
56;706;1;207;819;1
57;865;1;203;969;1
58;746;1;295;859;1
59;744;1;227;870;1
60;631;0;120;720;1
61;578;0;150;705;1
62;446;0;178;561;1
63;631;0;101;726;1
64;526;0;278;648;1
65;668;1;146;805;1
66;728;1;175;824;1
67;834;1;193;953;1
68;631;1;235;781;1
69;1154;1;162;1286;1
70;794;1;190;919;1
71;800;1;129;922;1
72;769;1;250;900;1
73;746;1;167;859;1
74;786;0;146;909;1
75;859;1;122;991;1
76;948;1;197;1071;1
77;548;0;141;665;1
78;860;1;250;992;1
79;839;1;221;957;1
80;712;1;185;825;1
81;1149;1;194;1312;1
