Trial_number;bc_release;condition(1 = change);delay;latency;result(1 = success, 2 = missed)
1;310;1;172;697;1
2;324;0;237;656;1
3;331;0;280;548;1
4;335;1;288;868;1
5;434;0;114;630;1
6;395;1;254;696;1
7;455;1;237;614;1
8;368;1;151;569;1
9;442;1;276;627;1
10;441;1;194;603;1
11;472;1;237;620;1
12;460;1;112;627;1
13;463;1;240;627;1
14;478;1;114;701;1
15;448;0;120;750;1
16;399;1;275;576;1
17;390;1;171;613;1
18;419;1;229;591;1
19;377;0;283;500;1
20;375;0;165;528;1
21;392;0;294;568;1
22;372;1;279;644;1
23;355;0;263;539;1
24;356;1;150;539;1
25;340;1;195;688;1
26;413;1;176;560;1
27;343;1;108;476;1
28;396;1;157;544;1
29;372;1;166;533;1
30;420;1;161;563;1
31;420;1;190;577;1
32;374;1;154;506;1
33;372;1;292;593;0
34;350;1;162;508;1
35;339;1;274;645;0
36;450;1;101;579;1
37;335;1;217;589;1
38;350;1;106;529;1
39;399;1;124;744;1
40;428;0;152;643;1
41;433;1;153;640;1
42;415;1;191;638;1
43;448;1;258;605;1
44;449;1;123;617;1
45;474;1;212;714;1
46;446;1;229;605;1
47;458;0;159;651;1
48;410;1;165;622;1
49;380;1;255;623;1
50;437;1;113;630;1
51;419;1;181;572;1
52;375;1;128;608;1
53;403;0;254;560;1
54;366;1;225;546;0
55;385;1;185;577;1
56;359;1;207;639;1
57;402;1;203;639;1
58;425;1;295;779;1
59;480;1;227;696;1
60;426;0;120;636;1
61;373;0;150;547;1
62;400;0;178;595;1
63;395;0;101;810;1
64;371;0;278;571;1
65;345;1;146;596;1
66;343;1;175;543;0
67;356;1;193;640;1
68;404;1;235;611;1
69;414;1;162;688;1
70;407;1;190;624;1
71;368;1;129;617;1
72;338;1;250;647;1
73;375;1;167;656;1
74;354;0;146;622;1
75;393;1;122;653;0
76;396;1;197;812;1
77;375;0;141;588;1
78;394;1;250;624;1
79;352;1;221;637;1
80;372;1;185;581;1
81;389;1;194;700;1
82;418;1;161;642;0
83;373;1;218;621;1
84;393;0;182;634;1
85;379;1;261;630;1
86;428;0;190;693;1
87;319;1;242;675;1
88;377;1;215;735;1
89;341;1;198;661;1
90;399;1;215;700;1
91;370;1;197;767;1
92;345;1;284;690;1
93;349;1;283;742;1
94;326;1;193;598;1
95;336;1;134;609;1
96;356;0;173;638;1
97;358;1;112;582;1
98;422;1;150;625;1
99;364;1;277;631;1
100;443;1;185;676;1
101;397;0;116;859;1
102;351;0;239;622;1
103;354;1;143;578;1
104;378;1;160;615;1
105;311;1;260;620;1
106;424;0;138;577;1
107;391;1;252;630;1
108;451;1;130;792;1
109;327;1;196;603;1
110;331;0;114;558;1
111;386;1;276;656;1
112;400;1;138;607;1
113;370;0;166;620;1
114;373;1;212;648;1
115;353;1;114;608;1
116;360;1;248;596;1
117;391;1;134;581;0
118;445;0;277;590;1
119;432;1;203;623;1
120;404;1;110;567;1
121;399;1;197;658;1
122;334;1;270;632;1
123;398;1;275;630;1
124;457;1;165;665;1
125;362;1;189;564;1
126;369;1;115;601;0
127;370;1;265;708;1
128;384;1;247;867;1
129;376;1;172;542;1
130;374;1;158;681;1
131;343;0;144;538;1
132;384;1;201;1096;1
133;326;1;187;668;1
134;346;0;194;582;1
135;391;1;239;632;1
136;403;1;252;696;1
137;402;1;256;690;1
138;400;0;290;592;1
139;388;1;163;670;1
140;370;1;119;618;0
141;381;1;287;705;1
142;419;1;292;706;1
143;402;1;238;611;1
144;411;1;166;672;0
145;426;0;276;753;1
146;387;1;135;783;1
147;367;0;237;670;1
148;373;1;134;577;1
149;344;1;158;517;1
150;435;0;119;616;1
151;435;1;207;643;0
152;459;0;236;638;1
153;413;0;221;618;1
154;412;1;171;693;1
155;385;1;213;686;1
156;404;1;140;674;1
157;358;1;277;664;0
158;400;1;173;631;1
159;427;1;177;667;1
160;412;1;209;666;1
161;461;1;284;760;1
162;415;0;230;639;1
163;404;1;274;643;1
164;454;1;299;671;1
165;444;1;207;630;1
166;499;1;241;690;1
167;426;1;293;659;1
168;440;1;259;708;1
169;397;1;130;605;1
170;325;1;158;547;1
171;379;1;182;612;1
172;371;0;120;562;1
173;380;1;293;612;1
174;362;1;196;693;1
175;353;0;237;602;1
176;379;1;229;556;1
177;366;1;291;779;1
178;360;1;222;604;1
179;378;1;289;741;1
180;393;1;170;638;1
181;338;1;198;575;1
182;375;1;160;532;1
183;399;1;255;640;1
184;389;1;136;580;1
185;320;1;257;519;0
186;349;1;219;594;1
187;324;1;185;634;0
188;373;1;207;707;1
189;396;1;185;623;1
190;378;1;289;648;1
191;375;0;219;618;0
192;431;1;296;690;1
193;394;1;139;558;1
194;403;1;110;668;1
195;387;1;145;705;1
196;337;1;242;622;1
197;370;1;265;721;1
198;340;1;229;605;1
199;351;1;248;604;1
200;431;1;214;678;1
201;357;1;118;642;1
202;367;1;163;602;1
203;359;1;109;574;1
204;336;1;129;642;1
205;313;1;151;642;1
206;298;1;216;633;1
207;310;1;254;627;0
208;315;1;290;716;1
209;292;1;236;917;0
210;214;1;114;529;1
211;278;1;227;542;1
212;319;1;199;577;1
213;342;1;160;669;1
214;346;1;109;549;1
215;321;1;168;561;1
216;415;1;190;602;1
217;373;1;261;683;1
218;355;1;220;573;1
219;388;1;158;570;1
220;351;1;236;604;1
221;380;1;108;587;1
222;376;1;144;561;1
223;418;1;136;604;1
224;356;1;105;568;1
225;401;0;296;593;1
226;387;1;253;673;1
227;319;1;237;533;1
228;365;0;235;582;1
229;351;1;127;748;1
230;370;1;295;688;1
231;399;1;129;576;1
232;430;1;143;651;1
233;356;1;286;527;0
234;410;1;214;646;1
235;359;1;276;604;1
236;360;1;196;593;1
237;411;0;280;574;1
238;426;0;107;594;1
239;363;1;280;566;1
240;393;1;274;629;1
241;383;1;296;664;1
242;404;0;188;590;1
243;411;1;204;859;1
244;374;1;277;621;1
245;424;0;155;606;1
246;392;1;273;706;1
247;374;1;299;608;1
248;457;1;279;723;1
249;473;0;294;615;1
250;445;1;260;665;1
251;382;1;120;609;1
252;376;1;168;548;1
253;448;1;149;618;1
254;374;1;147;537;1
255;427;1;133;582;1
256;381;1;285;645;1
257;464;1;194;835;1
258;384;1;141;606;1
259;421;0;228;752;1
260;402;0;277;1024;0
261;445;1;171;792;1
262;440;1;294;911;1
263;458;1;190;704;0
264;351;0;151;564;1
265;377;1;145;853;1
266;421;1;213;617;1
267;401;1;233;671;1
268;369;1;293;605;1
269;456;0;261;607;1
270;422;1;149;601;1
271;344;1;218;802;1
272;335;1;234;606;1
273;429;1;148;582;1
274;389;1;189;569;1
275;438;1;260;706;1
276;457;1;191;616;1
277;419;1;192;648;1
278;449;1;231;595;1
279;478;1;251;652;1
280;424;0;197;701;1
281;477;0;103;645;1
282;400;0;171;537;1
283;415;0;112;574;1
284;380;1;126;541;0
285;458;1;244;692;1
286;384;1;235;749;1
287;387;1;230;632;1
288;340;1;244;579;1
289;423;1;136;593;1
290;370;1;271;610;1
291;415;1;245;634;1
292;423;0;162;590;1
293;537;1;133;801;1
294;373;1;253;648;1
295;396;1;293;628;1
296;400;1;246;781;1
297;413;1;253;713;1
298;479;1;298;605;1
299;416;1;247;670;1
300;430;1;193;606;1
301;418;1;261;630;1
302;378;1;216;537;0
303;384;0;221;549;1
304;376;0;232;557;1
305;363;1;241;571;1
306;399;1;227;545;1
307;363;1;170;524;1
308;360;0;186;516;1
309;362;0;222;941;1
310;357;1;257;605;1
311;320;1;106;536;1
312;335;1;296;493;0
313;370;1;160;531;1
314;368;1;102;670;1
315;372;1;143;940;1
316;429;1;160;623;1
317;374;1;227;688;1
318;431;1;177;584;1
319;415;0;108;542;1
320;401;1;280;713;1
321;381;0;290;573;1
322;433;1;205;681;1
323;377;1;261;647;1
324;410;0;220;536;1
325;435;1;107;603;1
326;424;1;204;606;1
327;435;0;133;630;1
328;444;1;183;648;1
329;362;1;200;492;1
330;380;1;120;523;1
331;368;1;127;529;1
332;388;1;298;577;0
333;379;1;209;604;0
334;458;1;276;632;1
335;403;1;246;616;1
336;397;0;165;538;0
337;458;1;143;681;1
338;450;1;142;591;1
339;442;0;135;593;1
340;456;1;285;789;1
341;385;1;240;716;0
342;453;1;293;818;1
343;397;1;254;683;1
344;383;1;126;547;1
345;364;1;241;807;1
346;400;1;162;600;1
347;325;1;131;500;0
348;471;1;268;993;1
349;430;0;166;684;1
350;376;1;242;573;1
351;395;1;168;686;1
352;330;1;283;615;1
353;368;1;229;614;1
354;358;1;148;543;1
355;377;1;226;760;1
356;443;1;288;657;1
357;403;1;151;572;1
358;400;1;113;560;1
359;375;1;130;512;1
360;380;0;261;534;1
361;376;0;297;790;1
362;463;1;295;664;0
363;477;1;192;995;0
364;522;1;118;928;1
365;353;1;269;803;1
366;311;1;184;612;1
367;418;0;263;582;1
368;320;1;245;796;0
369;440;0;152;1284;1
370;387;1;159;807;1
371;261;1;256;573;1
372;270;1;255;641;1
373;324;1;206;604;1
374;355;0;173;536;1
375;374;0;139;569;1
376;374;1;138;553;1
377;391;1;283;588;1
378;389;1;256;640;1
379;395;1;126;582;1
380;326;1;100;497;0
381;369;1;175;560;1
382;288;1;187;515;1
383;253;1;219;631;0
384;386;1;203;914;1
385;373;1;245;627;1
386;332;1;190;554;0
387;418;1;164;731;1
388;326;1;223;621;1
389;358;1;234;626;1
390;383;1;209;707;0
391;294;1;154;594;1
392;322;1;206;573;1
393;298;1;144;526;1
394;322;1;109;721;1
395;376;1;267;646;1
396;264;0;127;502;1
397;364;1;242;628;1
398;373;0;283;550;1
399;378;1;282;725;1
400;271;1;236;500;0
401;381;0;203;553;1
402;293;1;127;499;1
403;334;1;173;502;1
404;386;1;239;604;1
405;363;0;215;565;1
406;366;1;116;528;1
407;314;1;258;773;1
408;350;1;140;678;0
409;407;1;178;938;1
410;386;1;127;1999;1
411;299;1;107;508;1
412;383;1;114;544;1
413;332;1;172;531;1
414;350;1;255;559;1
415;366;1;129;828;1
416;422;1;111;620;1
417;366;1;165;701;1
418;387;1;273;645;1
419;409;1;160;651;1
420;333;1;177;492;1
421;418;1;251;709;1
422;385;1;281;673;0
423;467;0;282;608;1
424;400;1;100;658;1
425;413;1;267;690;1
426;410;0;161;781;1
427;433;1;196;794;1
428;512;0;129;710;1
429;532;0;158;1197;0
430;388;0;258;558;1
431;417;1;283;649;1
432;364;0;126;713;1
433;434;0;264;938;1
434;334;1;209;671;1
435;387;0;188;694;1
436;391;1;148;816;1
437;354;0;162;1310;1
438;342;0;172;874;1
439;270;1;232;764;1
440;298;1;285;811;1
441;343;1;127;726;1
442;479;1;268;677;1
443;271;1;249;678;0
444;311;0;131;656;1
445;287;0;180;770;1
446;331;1;146;746;1
447;276;1;211;668;1
448;311;1;278;655;1
449;379;0;257;717;0
450;339;1;162;550;1
451;331;0;118;566;1
452;365;1;112;584;1
453;351;0;168;634;1
454;412;1;241;711;1
455;294;1;151;722;1
456;315;1;153;666;1
457;344;1;178;644;1
458;346;1;159;599;1
459;342;1;284;588;0
460;369;1;210;597;1
461;407;0;270;617;1
462;355;1;150;589;1
463;370;1;135;563;1
464;342;1;236;690;0
465;402;1;183;702;0
466;344;1;238;884;1
467;421;1;292;891;1
468;347;1;104;787;1
469;354;1;284;815;1
470;313;0;263;661;1
471;325;1;117;565;1
472;342;1;196;624;1
473;319;1;246;638;1
474;346;1;147;596;1
475;336;1;285;642;1
476;369;1;245;712;1
477;371;1;227;645;1
478;393;0;238;566;1
479;370;1;152;560;1
480;389;1;225;579;1
481;372;1;166;803;1
482;307;0;102;612;1
483;272;1;235;732;1
484;333;1;247;645;1
485;329;1;206;800;1
486;291;0;132;679;1
487;302;0;170;543;1
488;321;1;288;734;1
489;353;1;145;582;1
490;306;1;188;532;1
491;283;0;177;576;1
492;320;1;132;517;0
493;343;1;121;489;1
494;315;1;213;708;1
495;275;1;206;602;1
496;371;1;124;552;1
497;347;1;141;541;1
498;382;1;173;567;1
499;384;0;122;533;1
500;339;1;298;825;1
